2022-07-05 02:19:34.933:   ITEM[wps_ok] - FUNCTION[PowerSwitchProxy]
2022-07-05 02:19:34.934:   Turn 0:
2022-07-05 02:19:34.935:   [CONFIG] host: 192.168.0.11
2022-07-05 02:19:34.935:   [CONFIG] user: admin
2022-07-05 02:19:34.935:   [CONFIG] passWord: 1234
2022-07-05 02:19:34.935:   [CONFIG] Times: 10
2022-07-05 02:19:34.936:   [CONFIG] index of switch: 2
2022-07-05 02:19:34.936:   [CONFIG] Delay time: 3
2022-07-05 02:19:34.938:   cycle Times: 1 - 10
2022-07-05 02:19:55.975:   [POWER_SWITCH] http://192.168.0.11/outlet?2=OFF
2022-07-05 02:19:55.976:   Exception: Connect to 192.168.0.11:80 [/192.168.0.11] failed: Connection timed out: connect
2022-07-05 02:19:56.979:   ****************************************************
2022-07-05 02:19:56.979:   Limit type: "BOOL"
2022-07-05 02:19:56.979:   Uper limit: ""
2022-07-05 02:19:56.979:   Lowet limit: ""
2022-07-05 02:19:56.980:   Test Value: "failed"
2022-07-05 02:19:56.980:   Item name: WPS_OK
2022-07-05 02:19:56.980:   ****************************************************
2022-07-05 02:19:56.980:   Turn 1:
2022-07-05 02:19:56.980:   [CONFIG] host: 192.168.0.11
2022-07-05 02:19:56.980:   [CONFIG] user: admin
2022-07-05 02:19:56.980:   [CONFIG] passWord: 1234
2022-07-05 02:19:56.980:   [CONFIG] Times: 10
2022-07-05 02:19:56.980:   [CONFIG] index of switch: 2
2022-07-05 02:19:56.980:   [CONFIG] Delay time: 3
2022-07-05 02:19:56.980:   cycle Times: 1 - 10
2022-07-05 02:20:18.037:   [POWER_SWITCH] http://192.168.0.11/outlet?2=OFF
2022-07-05 02:20:18.037:   Exception: Connect to 192.168.0.11:80 [/192.168.0.11] failed: Connection timed out: connect
2022-07-05 02:20:19.043:   ****************************************************
2022-07-05 02:20:19.043:   Limit type: "BOOL"
2022-07-05 02:20:19.043:   Uper limit: ""
2022-07-05 02:20:19.043:   Lowet limit: ""
2022-07-05 02:20:19.043:   Test Value: "failed"
2022-07-05 02:20:19.043:   Item name: WPS_OK
2022-07-05 02:20:19.043:   ****************************************************
2022-07-05 02:20:19.043:   Error code: 1.3
2022-07-05 02:20:19.044:   Local error code: 39.3.0
2022-07-05 02:20:19.044:   Local error des: wps_ok
2022-07-05 02:20:19.044:   TIME[44.110 s] - STATUS[FAILED]
