===================================================================
Start at = 2023-06-13 04:29:57
End test at = 2023-06-13 04:29:57
Status = passed
Version = 1.5.7
Test time = 0.230 s
Final test time = 0.313 s
Station = RUNIN-7586
Localtion = 
HHSN = RYK01Q6
DEVICESN = null
===================================================================
//////////////////////////- ID[0] -//////////////////////////
2023-06-13 04:29:57.255:   ITEM[SocketCheck] - FUNCTION[SocketCheckProxy]
2023-06-13 04:29:57.258:   [PC] Turn: 1
2023-06-13 04:29:57.259:   [CONFIG] connect to socket server: localhost - 60026
2023-06-13 04:29:57.260:   [CONFIG] timeout: 10
2023-06-13 04:29:57.264:   [PC] send to server: {"action":"test"}
2023-06-13 04:29:57.267:   [Socket] {"mode":"test","data":[{"area":"0/1/999999","label":"e","percent":"95/89%s","status":true},{"area":"0/26686/999999","label":"e","percent":"96/90%s","status":true},{"area":"0/16786/99999","label":"r","percent":"96/81%s","status":true},{"area":"0/28230/999999","label":"o","percent":"93/86%s","status":true},{"area":"0/145242/999999","label":"label","percent":"93/82%s","status":true}],"status":true}
2023-06-13 04:29:57.369:   [PC] Detect model passed!
2023-06-13 04:29:57.369:   [CONFIG] Name elements: [../ImageLog/, start_day]
2023-06-13 04:29:57.369:   [CONFIG] Name elements: [mlbsn, sn, pass, mode]
2023-06-13 04:29:57.369:   [CONFIG] image log: ../ImageLog/_2023-06-13/mlbsn_RYK01Q6_pass_debug.jpg
2023-06-13 04:29:57.370:   [PC] send to server: {"name":"mlbsn_RYK01Q6_pass_debug.jpg","action":"save","dir":"../ImageLog/_2023-06-13"}
2023-06-13 04:29:57.379:   [Socket] {"message":"../ImageLog/_2023-06-13/mlbsn_RYK01Q6_pass_debug.jpg","status":true}
2023-06-13 04:29:57.479:   [PC] save image ok
2023-06-13 04:29:57.481:   ****************************************************
2023-06-13 04:29:57.481:   Item name = SocketCheck
2023-06-13 04:29:57.481:   Value = passed
2023-06-13 04:29:57.481:   Test status = passed
2023-06-13 04:29:57.481:   -----------------------------------------------------
2023-06-13 04:29:57.482:   ****************************************************
2023-06-13 04:29:57.482:   TIME[0.227 s] - STATUS[PASSED]
//////////////////////////////////////////////////////////////
//////////////////////////- ID[1] -//////////////////////////
2023-06-13 04:29:57.482:   ITEM[UpLogFTP] - FUNCTION[UpLogFTPProxy]
2023-06-13 04:29:57.484:   [PC] Turn: 1
2023-06-13 04:29:57.484:   [CONFIG] Dir elements: [data/Trieste, pnname, station_type, mode, start_day, station_name, status]
2023-06-13 04:29:57.484:   [CONFIG] Name elements: [Log/TestLog]
2023-06-13 04:29:57.484:   [CONFIG] Name elements: [mlbsn, sn, position, status, mode, finish_time]
2023-06-13 04:29:57.484:   [CONFIG] Follow limit: false
2023-06-13 04:29:57.484:   [CONFIG] Use the limit errorcode: true
2023-06-13 04:29:57.484:   [PC] Root: mlbsn = null
2023-06-13 04:29:57.484:   [PC] -----------------------------------------
2023-06-13 04:29:57.484:   [PC] Root: sn = RYK01Q6
2023-06-13 04:29:57.485:   [PC] -----------------------------------------
2023-06-13 04:29:57.485:   [PC] Root: mo = null
2023-06-13 04:29:57.485:   [PC] -----------------------------------------
2023-06-13 04:29:57.485:   [PC] Root: error_details = null
2023-06-13 04:29:57.485:   [PC] -----------------------------------------
2023-06-13 04:29:57.485:   [PC] Root: status = passed
2023-06-13 04:29:57.485:   [PC] -----------------------------------------
2023-06-13 04:29:57.485:   [PC] Root: finish_time = 2023-06-13 04:29:57
2023-06-13 04:29:57.485:   [PC] -----------------------------------------
2023-06-13 04:29:57.486:   [PC] Root: test_software_version = 1.5.7
2023-06-13 04:29:57.486:   [PC] -----------------------------------------
2023-06-13 04:29:57.486:   [PC] Root: start_time = 2023-06-13 04:29:57
2023-06-13 04:29:57.486:   [PC] -----------------------------------------
2023-06-13 04:29:57.486:   [PC] Root: station_type = CCD
2023-06-13 04:29:57.486:   [PC] -----------------------------------------
2023-06-13 04:29:57.486:   [PC] Root: error_code = null
2023-06-13 04:29:57.486:   [PC] -----------------------------------------
2023-06-13 04:29:57.486:   [PC] Root: errorcode = null
2023-06-13 04:29:57.487:   [PC] -----------------------------------------
2023-06-13 04:29:57.487:   [PC] Root: errorDes = null
2023-06-13 04:29:57.487:   [PC] -----------------------------------------
2023-06-13 04:29:57.487:   [PC] Root: serial = null
2023-06-13 04:29:57.487:   [PC] -----------------------------------------
2023-06-13 04:29:57.487:   [PC] Root: mode = debug
2023-06-13 04:29:57.487:   [PC] -----------------------------------------
2023-06-13 04:29:57.487:   [PC] Root: station_name = RUNIN-7586
2023-06-13 04:29:57.487:   [PC] -----------------------------------------
2023-06-13 04:29:57.487:   [PC] Root: position =
2023-06-13 04:29:57.488:   [PC] -----------------------------------------
2023-06-13 04:29:57.488:   [PC] Root: cycle_time = 0.230
2023-06-13 04:29:57.488:   [PC] -----------------------------------------
2023-06-13 04:29:57.488:   [PC] Root: cyctime_final = 0.230
2023-06-13 04:29:57.488:   [PC] -----------------------------------------
