2022-09-10 21:33:46.370:   ITEM[usb_aside_7] - FUNCTION[UsbAsideProxy]
2022-09-10 21:33:46.376:   Turn run: 1
2022-09-10 21:33:46.376:   [ComPort] Connect to : COM5
2022-09-10 21:33:46.377:   [ComPort] BaudRate is: 115200
2022-09-10 21:33:46.392:   [ComPort] Connect COM5 failed
2022-09-10 21:33:46.393:   ****************************************************
2022-09-10 21:33:46.393:   Item name = usb_aside_7
2022-09-10 21:33:46.393:   Value = failed
2022-09-10 21:33:46.393:   Test status = failed
2022-09-10 21:33:46.393:   -----------------------------------------------------
2022-09-10 21:33:46.402:   Turn run: 2
2022-09-10 21:33:46.402:   [ComPort] Connect to : COM5
2022-09-10 21:33:46.402:   [ComPort] BaudRate is: 115200
2022-09-10 21:33:46.415:   [ComPort] Connect COM5 failed
2022-09-10 21:33:46.416:   ****************************************************
2022-09-10 21:33:46.416:   Item name = usb_aside_7
2022-09-10 21:33:46.416:   Value = failed
2022-09-10 21:33:46.416:   Test status = failed
2022-09-10 21:33:46.416:   -----------------------------------------------------
2022-09-10 21:33:46.416:   Error code = -1
2022-09-10 21:33:46.416:   Error des = usb_aside_7
2022-09-10 21:33:46.416:   Local error code = 35.1.0
2022-09-10 21:33:46.416:   Local error des = usb_aside
2022-09-10 21:33:46.416:   ****************************************************
2022-09-10 21:33:46.417:   TIME[0.046 s] - STATUS[FAILED]
