2022-09-10 22:19:58.003:   ITEM[usb_aside_2] - FUNCTION[UsbAsideProxy]
2022-09-10 22:19:58.015:   Turn: 1
2022-09-10 22:19:58.015:   [ComPort] Connect to : COM5
2022-09-10 22:19:58.016:   [ComPort] BaudRate is: 115200
2022-09-10 22:19:58.041:   [ComPort] Connect COM5 failed
2022-09-10 22:19:58.041:   ****************************************************
2022-09-10 22:19:58.041:   Item name = usb_aside_2
2022-09-10 22:19:58.042:   Value = failed
2022-09-10 22:19:58.042:   Test status = failed
2022-09-10 22:19:58.042:   -----------------------------------------------------
2022-09-10 22:19:58.045:   Turn: 2
2022-09-10 22:19:58.045:   [ComPort] Connect to : COM5
2022-09-10 22:19:58.045:   [ComPort] BaudRate is: 115200
2022-09-10 22:19:58.066:   [ComPort] Connect COM5 failed
2022-09-10 22:19:58.066:   ****************************************************
2022-09-10 22:19:58.066:   Item name = usb_aside_2
2022-09-10 22:19:58.066:   Value = failed
2022-09-10 22:19:58.066:   Test status = failed
2022-09-10 22:19:58.067:   -----------------------------------------------------
2022-09-10 22:19:58.067:   Error code = -1
2022-09-10 22:19:58.067:   Error des = usb_aside_2
2022-09-10 22:19:58.067:   Local error code = 35.1.0
2022-09-10 22:19:58.067:   Local error des = usb_aside
2022-09-10 22:19:58.067:   ****************************************************
2022-09-10 22:19:58.067:   TIME[0.064 s] - STATUS[FAILED]
