2022-09-10 22:19:57.999:   ITEM[openshort_1] - FUNCTION[OpenShortProxy]
2022-09-10 22:19:58.011:   Turn: 1
2022-09-10 22:19:58.011:   [ComPort] Connect to : COM5
2022-09-10 22:19:58.011:   [ComPort] BaudRate is: 115200
2022-09-10 22:19:58.132:   [ComPort] Connect COM5 ok
2022-09-10 22:19:58.132:   [Config] keyWord: [OK]
2022-09-10 22:19:58.132:   [Config] Time: 10
2022-09-10 22:19:58.133:   [PC] True keys: [OK]
2022-09-10 22:19:58.133:   [ComPort] Send command: AT+PORTEJECT%
2022-09-10 22:19:58.239:   [Config] keyWords: [OK]
2022-09-10 22:20:05.567:   This function will be stopped! Because STOP TEST
2022-09-10 22:20:05.567:   Time: 7.567 S
2022-09-10 22:20:05.568:   This function will be stopped! Because STOP TEST
2022-09-10 22:20:05.568:   Time: 7.568 S
2022-09-10 22:20:05.568:   This function will be stopped! Because STOP TEST
2022-09-10 22:20:05.568:   Time: 7.568 S
2022-09-10 22:20:05.568:   ****************************************************
2022-09-10 22:20:05.568:   Item name = openshort_1
2022-09-10 22:20:05.568:   Value = failed
2022-09-10 22:20:05.568:   Test status = failed
2022-09-10 22:20:05.568:   -----------------------------------------------------
2022-09-10 22:20:05.569:   Error code = -1
2022-09-10 22:20:05.569:   Error des = openshort_1
2022-09-10 22:20:05.569:   Local error code = 16.T524.1.1.1
2022-09-10 22:20:05.569:   Local error des = openshort
2022-09-10 22:20:05.569:   ****************************************************
2022-09-10 22:20:05.569:   TIME[7.569 s] - STATUS[FAILED]
