2022-09-10 21:31:40.637:   ITEM[usb_aside_8] - FUNCTION[UsbAsideProxy]
2022-09-10 21:31:40.641:   Turn run: 1
2022-09-10 21:31:40.641:   [ComPort] Connect to : COM5
2022-09-10 21:31:40.641:   [ComPort] BaudRate is: 115200
2022-09-10 21:31:40.654:   [ComPort] Connect COM5 failed
2022-09-10 21:31:40.654:   ****************************************************
2022-09-10 21:31:40.654:   Item name = usb_aside_8
2022-09-10 21:31:40.654:   Value = failed
2022-09-10 21:31:40.654:   Test status = failed
2022-09-10 21:31:40.654:   -----------------------------------------------------
2022-09-10 21:31:40.763:   Turn run: 2
2022-09-10 21:31:40.764:   [ComPort] Connect to : COM5
2022-09-10 21:31:40.764:   [ComPort] BaudRate is: 115200
2022-09-10 21:31:40.852:   [ComPort] Connect COM5 failed
2022-09-10 21:31:40.852:   ****************************************************
2022-09-10 21:31:40.852:   Item name = usb_aside_8
2022-09-10 21:31:40.852:   Value = failed
2022-09-10 21:31:40.852:   Test status = failed
2022-09-10 21:31:40.852:   -----------------------------------------------------
2022-09-10 21:31:40.853:   Error code = -1
2022-09-10 21:31:40.853:   Error des = usb_aside_8
2022-09-10 21:31:40.853:   Local error code = 35.1.0
2022-09-10 21:31:40.853:   Local error des = usb_aside
2022-09-10 21:31:40.853:   ****************************************************
2022-09-10 21:31:40.853:   TIME[0.216 s] - STATUS[FAILED]
