2022-09-10 22:19:58.009:   ITEM[usb_aside_3] - FUNCTION[UsbAsideProxy]
2022-09-10 22:19:58.017:   Turn: 1
2022-09-10 22:19:58.017:   [ComPort] Connect to : COM5
2022-09-10 22:19:58.017:   [ComPort] BaudRate is: 115200
2022-09-10 22:19:58.041:   [ComPort] Connect COM5 failed
2022-09-10 22:19:58.041:   ****************************************************
2022-09-10 22:19:58.041:   Item name = usb_aside_3
2022-09-10 22:19:58.042:   Value = failed
2022-09-10 22:19:58.042:   Test status = failed
2022-09-10 22:19:58.042:   -----------------------------------------------------
2022-09-10 22:19:58.044:   Turn: 2
2022-09-10 22:19:58.044:   [ComPort] Connect to : COM5
2022-09-10 22:19:58.044:   [ComPort] BaudRate is: 115200
2022-09-10 22:19:58.066:   [ComPort] Connect COM5 failed
2022-09-10 22:19:58.068:   ****************************************************
2022-09-10 22:19:58.068:   Item name = usb_aside_3
2022-09-10 22:19:58.068:   Value = failed
2022-09-10 22:19:58.068:   Test status = failed
2022-09-10 22:19:58.068:   -----------------------------------------------------
2022-09-10 22:19:58.068:   Error code = -1
2022-09-10 22:19:58.068:   Error des = usb_aside_3
2022-09-10 22:19:58.068:   Local error code = 35.1.0
2022-09-10 22:19:58.068:   Local error des = usb_aside
2022-09-10 22:19:58.068:   ****************************************************
2022-09-10 22:19:58.069:   TIME[0.059 s] - STATUS[FAILED]
