2022-09-10 21:33:46.339:   ITEM[usb_aside_6] - FUNCTION[UsbAsideProxy]
2022-09-10 21:33:46.346:   Turn run: 1
2022-09-10 21:33:46.346:   [ComPort] Connect to : COM5
2022-09-10 21:33:46.346:   [ComPort] BaudRate is: 115200
2022-09-10 21:33:46.368:   [ComPort] Connect COM5 failed
2022-09-10 21:33:46.368:   ****************************************************
2022-09-10 21:33:46.368:   Item name = usb_aside_6
2022-09-10 21:33:46.369:   Value = failed
2022-09-10 21:33:46.369:   Test status = failed
2022-09-10 21:33:46.369:   -----------------------------------------------------
2022-09-10 21:33:46.371:   Turn run: 2
2022-09-10 21:33:46.371:   [ComPort] Connect to : COM5
2022-09-10 21:33:46.371:   [ComPort] BaudRate is: 115200
2022-09-10 21:33:46.392:   [ComPort] Connect COM5 failed
2022-09-10 21:33:46.393:   ****************************************************
2022-09-10 21:33:46.393:   Item name = usb_aside_6
2022-09-10 21:33:46.393:   Value = failed
2022-09-10 21:33:46.393:   Test status = failed
2022-09-10 21:33:46.393:   -----------------------------------------------------
2022-09-10 21:33:46.394:   Error code = -1
2022-09-10 21:33:46.394:   Error des = usb_aside_6
2022-09-10 21:33:46.394:   Local error code = 35.1.0
2022-09-10 21:33:46.394:   Local error des = usb_aside
2022-09-10 21:33:46.394:   ****************************************************
2022-09-10 21:33:46.395:   TIME[0.056 s] - STATUS[FAILED]
