2022-09-10 21:35:09.626:   ITEM[usb_aside_1] - FUNCTION[UsbAsideProxy]
2022-09-10 21:35:09.627:   Turn run: 1
2022-09-10 21:35:09.630:   [ComPort] Connect to : COM5
2022-09-10 21:35:09.630:   [ComPort] BaudRate is: 115200
2022-09-10 21:35:09.775:   [ComPort] Connect COM5 ok
2022-09-10 21:35:09.776:   [Config] keyWord: [OK]
2022-09-10 21:35:09.777:   [Config] Time: 6
2022-09-10 21:35:09.777:   [PC] True keys: [OK]
2022-09-10 21:35:09.777:   [ComPort] Send command: AT+VBUS_BOFF%
2022-09-10 21:35:09.879:   [Config] keyWords: [OK]
2022-09-10 21:35:15.978:  [ComPort] null
2022-09-10 21:35:15.979:   [PC] Disconnect ComPort ok
2022-09-10 21:35:15.979:   ****************************************************
2022-09-10 21:35:15.980:   Item name = usb_aside_1
2022-09-10 21:35:15.980:   Value = failed
2022-09-10 21:35:15.980:   Test status = failed
2022-09-10 21:35:15.980:   -----------------------------------------------------
2022-09-10 21:35:15.981:   Turn run: 2
2022-09-10 21:35:15.982:   [ComPort] Connect to : COM5
2022-09-10 21:35:15.982:   [ComPort] BaudRate is: 115200
2022-09-10 21:35:16.123:   [ComPort] Connect COM5 ok
2022-09-10 21:35:16.124:   [Config] keyWord: [OK]
2022-09-10 21:35:16.124:   [Config] Time: 6
2022-09-10 21:35:16.124:   [PC] True keys: [OK]
2022-09-10 21:35:16.124:   [ComPort] Send command: AT+VBUS_BOFF%
2022-09-10 21:35:16.233:   [Config] keyWords: [OK]
2022-09-10 21:35:22.239:  [ComPort] null
2022-09-10 21:35:22.239:   [PC] Disconnect ComPort ok
2022-09-10 21:35:22.239:   ****************************************************
2022-09-10 21:35:22.240:   Item name = usb_aside_1
2022-09-10 21:35:22.240:   Value = failed
2022-09-10 21:35:22.240:   Test status = failed
2022-09-10 21:35:22.240:   -----------------------------------------------------
2022-09-10 21:35:22.240:   Error code = -1
2022-09-10 21:35:22.241:   Error des = usb_aside_1
2022-09-10 21:35:22.241:   Local error code = 35.1.0
2022-09-10 21:35:22.241:   Local error des = usb_aside
2022-09-10 21:35:22.241:   ****************************************************
2022-09-10 21:35:22.241:   TIME[12.615 s] - STATUS[FAILED]
