2022-09-10 21:33:46.339:   ITEM[openshort_5] - FUNCTION[OpenShortProxy]
2022-09-10 21:33:46.341:   Turn run: 1
2022-09-10 21:33:46.342:   [ComPort] Connect to : COM5
2022-09-10 21:33:46.342:   [ComPort] BaudRate is: 115200
2022-09-10 21:33:46.368:   [ComPort] Connect COM5 failed
2022-09-10 21:33:46.368:   ****************************************************
2022-09-10 21:33:46.368:   Item name = openshort_5
2022-09-10 21:33:46.368:   Value = failed
2022-09-10 21:33:46.368:   Test status = failed
2022-09-10 21:33:46.369:   -----------------------------------------------------
2022-09-10 21:33:46.371:   Turn run: 2
2022-09-10 21:33:46.371:   [ComPort] Connect to : COM5
2022-09-10 21:33:46.372:   [ComPort] BaudRate is: 115200
2022-09-10 21:33:46.392:   [ComPort] Connect COM5 failed
2022-09-10 21:33:46.393:   ****************************************************
2022-09-10 21:33:46.393:   Item name = openshort_5
2022-09-10 21:33:46.393:   Value = failed
2022-09-10 21:33:46.393:   Test status = failed
2022-09-10 21:33:46.393:   -----------------------------------------------------
2022-09-10 21:33:46.396:   Error code = -1
2022-09-10 21:33:46.396:   Error des = openshort_5
2022-09-10 21:33:46.396:   Local error code = 16.T524.1.1.1
2022-09-10 21:33:46.396:   Local error des = openshort
2022-09-10 21:33:46.396:   ****************************************************
2022-09-10 21:33:46.396:   TIME[0.057 s] - STATUS[FAILED]
