2022-09-10 22:19:58.010:   ITEM[usb_aside_4] - FUNCTION[UsbAsideProxy]
2022-09-10 22:19:58.024:   Turn: 1
2022-09-10 22:19:58.025:   [ComPort] Connect to : COM5
2022-09-10 22:19:58.025:   [ComPort] BaudRate is: 115200
2022-09-10 22:19:58.053:   [ComPort] Connect COM5 failed
2022-09-10 22:19:58.053:   ****************************************************
2022-09-10 22:19:58.053:   Item name = usb_aside_4
2022-09-10 22:19:58.054:   Value = failed
2022-09-10 22:19:58.054:   Test status = failed
2022-09-10 22:19:58.054:   -----------------------------------------------------
2022-09-10 22:19:58.054:   Turn: 2
2022-09-10 22:19:58.054:   [ComPort] Connect to : COM5
2022-09-10 22:19:58.054:   [ComPort] BaudRate is: 115200
2022-09-10 22:19:58.072:   [ComPort] Connect COM5 failed
2022-09-10 22:19:58.072:   ****************************************************
2022-09-10 22:19:58.072:   Item name = usb_aside_4
2022-09-10 22:19:58.072:   Value = failed
2022-09-10 22:19:58.072:   Test status = failed
2022-09-10 22:19:58.072:   -----------------------------------------------------
2022-09-10 22:19:58.073:   Error code = -1
2022-09-10 22:19:58.073:   Error des = usb_aside_4
2022-09-10 22:19:58.073:   Local error code = 35.1.0
2022-09-10 22:19:58.073:   Local error des = usb_aside
2022-09-10 22:19:58.073:   ****************************************************
2022-09-10 22:19:58.073:   TIME[0.062 s] - STATUS[FAILED]
