2023-04-20 07:30:26.512:   ITEM[dut_ping_2] - FUNCTION[DutPingProxy]
2023-04-20 07:30:26.513:   Turn: 1
2023-04-20 07:30:26.513:   Get IP from the function config with key is "IP".
2023-04-20 07:30:26.513:   IP: 192.168.1.1
2023-04-20 07:30:26.513:   [PC] Ping to IP: 192.168.1.1 - 120 S
2023-04-20 07:30:26.513:   [Cmd] ------------------------------------ 1
2023-04-20 07:30:26.513:   [Cmd] Send command: arp -d
2023-04-20 07:30:26.549:   [Cmd] The ARP entry deletion failed: The requested operation requires elevation.
2023-04-20 07:30:26.549:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-04-20 07:30:30.332:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-04-20 07:30:30.332:   [Cmd] Request timed out.
2023-04-20 07:30:30.332:   [Cmd] 
2023-04-20 07:30:30.332:   [Cmd] Ping statistics for 192.168.1.1:
2023-04-20 07:30:30.332:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-04-20 07:30:30.332:   [Cmd] ------------------------------------
2023-04-20 07:30:30.332:   [Cmd] ------------------------------------ 2
2023-04-20 07:30:30.332:   [Cmd] Send command: arp -d
2023-04-20 07:30:30.363:   [Cmd] The ARP entry deletion failed: The requested operation requires elevation.
2023-04-20 07:30:30.364:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-04-20 07:30:34.320:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-04-20 07:30:34.320:   [Cmd] Request timed out.
2023-04-20 07:30:34.320:   [Cmd] 
2023-04-20 07:30:34.320:   [Cmd] Ping statistics for 192.168.1.1:
2023-04-20 07:30:34.320:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-04-20 07:30:34.320:   [Cmd] ------------------------------------
2023-04-20 07:30:34.320:   [Cmd] ------------------------------------ 3
2023-04-20 07:30:34.320:   [Cmd] Send command: arp -d
2023-04-20 07:30:34.352:   [Cmd] The ARP entry deletion failed: The requested operation requires elevation.
2023-04-20 07:30:34.353:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-04-20 07:30:38.333:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-04-20 07:30:38.333:   [Cmd] Request timed out.
2023-04-20 07:30:38.333:   [Cmd] 
2023-04-20 07:30:38.333:   [Cmd] Ping statistics for 192.168.1.1:
2023-04-20 07:30:38.333:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-04-20 07:30:38.333:   [Cmd] ------------------------------------
2023-04-20 07:30:38.333:   [Cmd] ------------------------------------ 4
2023-04-20 07:30:38.333:   [Cmd] Send command: arp -d
2023-04-20 07:30:38.365:   [Cmd] The ARP entry deletion failed: The requested operation requires elevation.
2023-04-20 07:30:38.365:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-04-20 07:30:42.330:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-04-20 07:30:42.331:   [Cmd] Request timed out.
2023-04-20 07:30:42.331:   [Cmd] 
2023-04-20 07:30:42.331:   [Cmd] Ping statistics for 192.168.1.1:
2023-04-20 07:30:42.331:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-04-20 07:30:42.331:   [Cmd] ------------------------------------
2023-04-20 07:30:42.331:   [Cmd] ------------------------------------ 5
2023-04-20 07:30:42.331:   [Cmd] Send command: arp -d
2023-04-20 07:30:42.363:   [Cmd] The ARP entry deletion failed: The requested operation requires elevation.
2023-04-20 07:30:42.363:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-04-20 07:30:46.325:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
