2023-04-20 07:30:03.832:   ITEM[wps_ok_2] - FUNCTION[PowerSwitchProxy]
2023-04-20 07:30:03.833:   Turn: 1
2023-04-20 07:30:03.833:   [CONFIG] host: 192.168.1.10
2023-04-20 07:30:03.833:   [CONFIG] user: admin
2023-04-20 07:30:03.833:   [CONFIG] passWord: 1234
2023-04-20 07:30:03.833:   [CONFIG] Times: 1
2023-04-20 07:30:03.833:   [CONFIG] index of switch: 1
2023-04-20 07:30:03.833:   [CONFIG] Delay time: 5 s
2023-04-20 07:30:03.833:   cycle Times: 1 - 1
2023-04-20 07:30:24.490:   This function will be stopped! Because it has timed out!
2023-04-20 07:30:24.490:   Spec: 20 S
2023-04-20 07:30:24.490:   Try to stop!!
2023-04-20 07:30:24.491:   Time: 20.658 S
2023-04-20 07:30:24.866:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2023-04-20 07:30:24.867:   sleep interrupted
2023-04-20 07:30:26.510:   ****************************************************
2023-04-20 07:30:26.510:   Item name = wps_ok_2
2023-04-20 07:30:26.510:   Value = failed
2023-04-20 07:30:26.511:   Test status = failed
2023-04-20 07:30:26.511:   -----------------------------------------------------
2023-04-20 07:30:26.511:   Error code = -1
2023-04-20 07:30:26.511:   Error des = wps_ok_2
2023-04-20 07:30:26.511:   Local error code = 39.3.0
2023-04-20 07:30:26.511:   Local error des = wps_ok
2023-04-20 07:30:26.511:   ****************************************************
2023-04-20 07:30:26.512:   TIME[22.679 s] - STATUS[FAILED]
